Relation,Label,Label_out
http://www.wikidata.org/prop/direct/P2438,narrator,narrator
http://www.wikidata.org/prop/direct/P25,mother,mother
http://www.wikidata.org/prop/direct/P2515,costume designer,costume designer
http://www.wikidata.org/prop/direct/P2541,operating area,operating area
http://www.wikidata.org/prop/direct/P2546,sidekick of,sidekick of
http://www.wikidata.org/prop/direct/P2554,production designer,production designer
http://www.wikidata.org/prop/direct/P2563,superhuman feature or ability,superhuman feature or ability
http://www.wikidata.org/prop/direct/P26,spouse,spouse
http://www.wikidata.org/prop/direct/P2629,BBFC rating,BBFC rating
http://www.wikidata.org/prop/direct/P2632,place of detention,place of detention
http://www.wikidata.org/prop/direct/P2637,RARS rating,RARS rating
http://www.wikidata.org/prop/direct/P2650,interested in,interested in
http://www.wikidata.org/prop/direct/P2684,Kijkwijzer rating,Kijkwijzer rating
http://www.wikidata.org/prop/direct/P27,country of citizenship,country of citizenship
http://www.wikidata.org/prop/direct/P272,production company,production company
http://www.wikidata.org/prop/direct/P272,voic,voice actor
http://www.wikidata.org/prop/direct/P2747,Filmiroda rating,Filmiroda rating
http://www.wikidata.org/prop/direct/P2756,EIRIN film rating,EIRIN film rating
http://www.wikidata.org/prop/direct/P2756,EIRIN rating,EIRIN film rating
http://www.wikidata.org/prop/direct/P2758,CNC film rating (France),CNC film rating (France)
http://www.wikidata.org/prop/direct/P2758,CNC rating,CNC film rating (France)
http://www.wikidata.org/prop/direct/P279,subclass of,subclass of
http://www.wikidata.org/prop/direct/P2860,cites work,cites work
http://www.wikidata.org/prop/direct/P287,designed by,designed by
http://www.wikidata.org/prop/direct/P291,place of publication,place of publication
http://www.wikidata.org/prop/direct/P2936,language used,language used
http://www.wikidata.org/prop/direct/P3092,film crew member,film crew member
http://www.wikidata.org/prop/direct/P3095,practiced by,practiced by
http://www.wikidata.org/prop/direct/P31,a film,instance of
http://www.wikidata.org/prop/direct/P31,a movie,instance of
http://www.wikidata.org/prop/direct/P31,instance of,instance of
http://www.wikidata.org/prop/direct/P3156,Australian Classification,Australian Classification
http://www.wikidata.org/prop/direct/P3216,ClassInd rating,ClassInd rating
http://www.wikidata.org/prop/direct/P3275,storyboard artist,storyboard artist
http://www.wikidata.org/prop/direct/P3300,musical conductor,musical conductor
http://www.wikidata.org/prop/direct/P3301,broadcast by,broadcast by
http://www.wikidata.org/prop/direct/P3306,ICAA rating,ICAA rating
http://www.wikidata.org/prop/direct/P3342,significant person,significant person
http://www.wikidata.org/prop/direct/P3383,film poster,film poster
http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania),CNC film rating (Romania)
http://www.wikidata.org/prop/direct/P3428,INCAA film rating,INCAA film rating
http://www.wikidata.org/prop/direct/P3428,INCAA rating,INCAA film rating
http://www.wikidata.org/prop/direct/P344,photography director,director of photography
http://www.wikidata.org/prop/direct/P344,director of photography,director of photography
http://www.wikidata.org/prop/direct/P345,IMDb ID,IMDb ID
http://www.wikidata.org/prop/direct/P35,head of state,head of state
http://www.wikidata.org/prop/direct/P361,part of,part of
http://www.wikidata.org/prop/direct/P364,original language,original language
http://www.wikidata.org/prop/direct/P364,language,original language
http://www.wikidata.org/prop/direct/P364,original language of film or TV show,original language of film or TV show
http://www.wikidata.org/prop/direct/P3650,JMK film rating,JMK film rating
http://www.wikidata.org/prop/direct/P3650,JMK rating,JMK film rating
http://www.wikidata.org/prop/direct/P371,presenter,presenter
http://www.wikidata.org/prop/direct/P3803,original film format,original film format
http://www.wikidata.org/prop/direct/P3818,KMRB film rating,KMRB film rating
http://www.wikidata.org/prop/direct/P3818,KMRB rating,KMRB film rating
http://www.wikidata.org/prop/direct/P3834,RTC film rating,RTC film rating
http://www.wikidata.org/prop/direct/P3834,RTC rating,RTC film rating
http://www.wikidata.org/prop/direct/P3842,located in present-day administrative territorial entity,located in present-day administrative territorial entity
http://www.wikidata.org/prop/direct/P400,platform,platform
http://www.wikidata.org/prop/direct/P406,soundtrack release,soundtrack release
http://www.wikidata.org/prop/direct/P407,language of work or name,language of work or name
http://www.wikidata.org/prop/direct/P425,field of this occupation,field of this occupation
http://www.wikidata.org/prop/direct/P437,distribution format,distribution format
http://www.wikidata.org/prop/direct/P4437,FPB rating,FPB rating
http://www.wikidata.org/prop/direct/P444,review score,review score
http://www.wikidata.org/prop/direct/P449,original broadcaster,original broadcaster
http://www.wikidata.org/prop/direct/P451,unmarried partner,unmarried partner
http://www.wikidata.org/prop/direct/P4584,first appearance,first appearance
http://www.wikidata.org/prop/direct/P460,said to be the same as,said to be the same as
http://www.wikidata.org/prop/direct/P4608,scenographer,scenographer
http://www.wikidata.org/prop/direct/P461,opposite of,opposite of
http://www.wikidata.org/prop/direct/P462,color,color
http://www.wikidata.org/prop/direct/P463,member of,member of
http://www.wikidata.org/prop/direct/P466,occupant,occupant
http://www.wikidata.org/prop/direct/P47,shares border with,shares border with
http://www.wikidata.org/prop/direct/P479,input method,input method
http://www.wikidata.org/prop/direct/P4805,make-up artist,make-up artist
http://www.wikidata.org/prop/direct/P485,archives at,archives at
http://www.wikidata.org/prop/direct/P495,country of origin,country of origin
http://www.wikidata.org/prop/direct/P5028,sound designer,sound designer
http://www.wikidata.org/prop/direct/P5072,presented in,presented in
http://www.wikidata.org/prop/direct/P5096,member of the crew of,member of the crew of
http://www.wikidata.org/prop/direct/P5150,IGAC rating,IGAC rating
http://www.wikidata.org/prop/direct/P5152,KAVI rating,KAVI rating
http://www.wikidata.org/prop/direct/P5201,IMDA rating,IMDA rating
http://www.wikidata.org/prop/direct/P527,has part,has part
http://www.wikidata.org/prop/direct/P530,diplomatic relation,diplomatic relation
http://www.wikidata.org/prop/direct/P5389,permanent resident of,permanent resident of
http://www.wikidata.org/prop/direct/P54,member of sports team,member of sports team
http://www.wikidata.org/prop/direct/P57,direct,director
http://www.wikidata.org/prop/direct/P57,director,director
http://www.wikidata.org/prop/direct/P577,publication date,publication date
http://www.wikidata.org/prop/direct/P58,screenplay,screenwriter
http://www.wikidata.org/prop/direct/P58,screenwriter,screenwriter
http://www.wikidata.org/prop/direct/P5940,plot expanded in,plot expanded in
http://www.wikidata.org/prop/direct/P5970,Medierådet rating,Medierådet rating
http://www.wikidata.org/prop/direct/P6166,quotes work,quotes work
http://www.wikidata.org/prop/direct/P6216,copyright status,copyright status
http://www.wikidata.org/prop/direct/P6275,copyright representative,copyright representative
http://www.wikidata.org/prop/direct/P629,edition or translation of,edition or translation of
http://www.wikidata.org/prop/direct/P6379,has works in the collection,has works in the collection
http://www.wikidata.org/prop/direct/P66,ancestral home,ancestral home
http://www.wikidata.org/prop/direct/P6657,CHVRS Classification,CHVRS Classification
http://www.wikidata.org/prop/direct/P6658,RCQ classification,RCQ classification
http://www.wikidata.org/prop/direct/P669,located on street,located on street
http://www.wikidata.org/prop/direct/P674,characters,characters
http://www.wikidata.org/prop/direct/P6886,writing language,writing language
http://www.wikidata.org/prop/direct/P69,educated at,educated at
http://www.wikidata.org/prop/direct/P6942,animator,animator
http://www.wikidata.org/prop/direct/P7047,enemy of,enemy of
http://www.wikidata.org/prop/direct/P706,located on terrain feature,located on terrain feature
http://www.wikidata.org/prop/direct/P710,participant,participant
http://www.wikidata.org/prop/direct/P725,voice actor,voice actor
http://www.wikidata.org/prop/direct/P7327,OFLC classification,OFLC classification
http://www.wikidata.org/prop/direct/P737,influenced by,influenced by
http://www.wikidata.org/prop/direct/P740,location of formation,location of formation
http://www.wikidata.org/prop/direct/P747,has edition or translation,has edition or translation
http://www.wikidata.org/prop/direct/P749,parent organization,parent organization
http://www.wikidata.org/prop/direct/P750,distributed by,distributed by
http://www.wikidata.org/prop/direct/P7573,IFCO rating,IFCO rating
http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject,contributor to the creative work or subject
http://www.wikidata.org/prop/direct/P793,significant event,significant event
http://www.wikidata.org/prop/direct/P7937,form of creative work,form of creative work
http://www.wikidata.org/prop/direct/P7959,historic county,historic county
http://www.wikidata.org/prop/direct/P800,notable work,notable work
http://www.wikidata.org/prop/direct/P825,dedicated to,dedicated to
http://www.wikidata.org/prop/direct/P828,has cause,has cause
http://www.wikidata.org/prop/direct/P8371,"references work, tradition or theory","references work, tradition or theory"
http://www.wikidata.org/prop/direct/P840,narrative location,narrative location
http://www.wikidata.org/prop/direct/P8411,set in environment,set in environment
http://www.wikidata.org/prop/direct/P86,composer,composer
http://www.wikidata.org/prop/direct/P8670,character designer,character designer
http://www.wikidata.org/prop/direct/P8874,Hong Kong film rating,Hong Kong film rating
http://www.wikidata.org/prop/direct/P8889,MTRCB rating,MTRCB rating
http://www.wikidata.org/prop/direct/P9086,BAMID film rating,BAMID film rating
http://www.wikidata.org/prop/direct/P915,filming location,filming location
http://www.wikidata.org/prop/direct/P921,main subject,main subject
http://www.wikidata.org/prop/direct/P9215,set during recurring event,set during recurring event
http://www.wikidata.org/prop/direct/P931,place served by transport hub,place served by transport hub
http://www.wikidata.org/prop/direct/P937,work location,work location
http://www.wikidata.org/prop/direct/P941,inspired by,inspired by
http://www.wikidata.org/prop/direct/P945,allegiance,allegiance
http://www.wikidata.org/prop/direct/P577,year,publication date
http://www.wikidata.org/prop/direct/P58,screenwr,screenwriter
